ds_id,filename,repository_path,canonical_uri,title,description,category,artifact_type,json_schema_dialect,lifecycle_state,record_status,specification_version,schema_dependencies,dependent_schemas,rtm_mapping_basis,rtm_ids,arm_ids,ns_ids,cr_ids,sha256,assigned_date,last_modified_date,notes,repository_release_target,repository_release_target_status,release_status,artifact_lifecycle_state,controlling_published_baseline,baseline_date,rtm_dataset_version
DS-001,common.json,schemas/common.json,https://agcp.ai/schemas/common.json,AGCP Common Types,Shared JSON Schema definitions actively required by the AGCP v2.0 schema set. This clean library contains only definitions referenced by implemented schemas or by retained shared definitions; canonical domain objects and result objects are defined in their assigned DS schemas.,Common Infrastructure,JSON Schema,https://json-schema.org/draft/2020-12/schema,Implemented,Active,v2.0.5,DS-006;DS-007;DS-008;DS-020;DS-040;DS-041;DS-043,DS-002;DS-003;DS-004;DS-005;DS-006;DS-007;DS-008;DS-009;DS-010;DS-011;DS-012;DS-013;DS-014;DS-015;DS-017;DS-018;DS-019;DS-020;DS-021;DS-022;DS-023;DS-024;DS-025;DS-026;DS-027;DS-028;DS-029;DS-030;DS-031;DS-032;DS-033;DS-034;DS-035;DS-036;DS-037;DS-038;DS-039;DS-040;DS-041;DS-042;DS-043;DS-044;DS-045,"RTM-00005 / CR-005 maps the canonical provenance wire schema and IF-001. RTM-00042, RTM-00052, RTM-00064, and RTM-00066 map the generic algorithm-explicit content-digest contract for replay, Canonical State, evidence, and receipt integrity.",RTM-00005;RTM-00042;RTM-00052;RTM-00064;RTM-00066,ARM-101;ARM-102;ARM-103;ARM-104;ARM-105;ARM-106;ARM-107;ARM-108;ARM-201;ARM-202;ARM-203;ARM-204;ARM-205;ARM-206;ARM-207;ARM-208;ARM-209;ARM-210;ARM-211;ARM-212;ARM-213;ARM-214;ARM-215;ARM-216;ARM-217;ARM-302;ARM-308;ARM-401;ARM-402;ARM-403;ARM-404;ARM-405;ARM-406;ARM-601;ARM-602;ARM-603;ARM-604;ARM-605;ARM-606;ARM-701;ARM-702;ARM-703;ARM-704;ARM-801;ARM-802;ARM-803;ARM-804,NS-10.5-01;NS-10.5-02;NS-10.7-01;NS-10.8A-01;NS-10.8A-02;NS-10.8A-03;NS-4.6-01;NS-4.6-02;NS-4.6-03;NS-4.6-04;NS-6.6A-01;NS-6.6A-02;NS-7.6A-01;NS-7.6A-02;NS-7.6A-03;NS-8.6A-01;NS-8.6A-02;NS-8.6A-03;NS-9.6A-01;NS-9.6A-02;NS-9.6A-03;NS-9.6A-04;NS-9.6B-01;NS-9.6B-02;NS-9.6B-03;NS-9.6B-04;NS-9.6B-05,CR-005;CR-042;CR-052;CR-064;CR-066,04e941f373c33df16431382be6f44fc3c0688615aa0a5e9a908ff21dad3f204d,2026-07-22,2026-08-03,Canonical AGCP shared-definition library. Provenance is synchronized with the normative wire format. P1-12 binds every supported content-digest algorithm to an exact lowercase-hexadecimal output length and deprecates algorithm-implicit hash_hex for new contracts. Reverse dependency metadata remains synchronized to the active graph.,v2.0.5,PUBLIC_REVIEW_CONTROLLED_BASELINE,PUBLIC_REVIEW_CONTROLLED_BASELINE,CURRENT,v2.0.5,2026-08-05,RTM-1.46
DS-002,error_response.json,schemas/error_response.json,https://agcp.ai/schemas/error_response.json,AGCP ErrorResponse,Standard error response for AGCP HTTP interfaces. Rejection codes SHALL be defined by the AGCP rejection-code registry.,Common Infrastructure,JSON Schema,https://json-schema.org/draft/2020-12/schema,Implemented,Active,v2.0.5,DS-001;DS-028,,Existing GitHub_File references in RTM-1.6; DS_ID populated in RTM-1.7.,RTM-00004;RTM-00010;RTM-00022;RTM-00026;RTM-00041;RTM-00048;RTM-00068;RTM-00073;RTM-00089;RTM-00090;RTM-00110;RTM-00113,ARM-101;ARM-105;ARM-108;ARM-204;ARM-601;ARM-701,NS-6.3-01;NS-6.1-01;NS-6.5-01;NS-6.6-01;NS-7.2-01;NS-6.7-01;NS-4.15-01;NS-6.4-01;NS-6.7-02;NS-6.3-02;NS-6.2-02;NS-6.1-02;NS-6.6-02;NS-6.7-03;NS-6.4-03;NS-6.6-03,CR-004;CR-010;CR-022;CR-026;CR-041;CR-048;CR-068;CR-073;CR-089;CR-090;CR-110;CR-113,1523cb73d1c8c91906c06ec52476d75ec7bb8eb28af61caad7635b2fee1ef766,2026-07-22,2026-08-03,v2.0.4 P1-03/P1-09 correction: public 404 is normalized to RESOURCE_NOT_FOUND; REQUEST_THROTTLED requires 429 plus Retry-After; CAPACITY_UNAVAILABLE uses 503; transport/service conditions are not Governance Outcomes.,v2.0.5,PUBLIC_REVIEW_CONTROLLED_BASELINE,PUBLIC_REVIEW_CONTROLLED_BASELINE,CURRENT,v2.0.5,2026-08-05,RTM-1.46
DS-003,meta_response.json,schemas/meta_response.json,https://agcp.ai/schemas/meta_response.json,AGCP Implementation Metadata Response,"Canonical, attributable, integrity-protected implementation-capability and release-advertisement response for AGCP interface discovery. DS-003 identifies the implementation release, supported AGCP specification releases, complete integrity-bound schema set, implementation profile, supported registry releases, claimed conformance levels and scope, supported governance capabilities, and implemented HTTP contract without expanding normative behavior, creating authority, or implying conformance beyond demonstrated evidence.",Common Infrastructure,JSON Schema,https://json-schema.org/draft/2020-12/schema,Implemented,Active,v2.0.5,DS-001;DS-020;DS-044,,"Direct implementation-conformance discovery mapping for claimed AGCP semantics and cross-implementation interoperability; DS-003 exposes explicit release, profile, schema-set, registry, conformance, capability, and interface evidence.",RTM-00089;RTM-00090;RTM-00073,ARM-701;ARM-707;ARM-708,NS-3.6-01;NS-3.6-02;NS-3.7-01;NS-17.1-01;NS-17.2-02;NS-17.2-03;NS-17.3-01;NS-17.4-01;NS-17.4-02;NS-17.5-01;NS-17.5-02;NS-17.5-03;NS-17.6-01;NS-17.6-02;NS-17.6-03;NS-17.7-01;NS-17.7-02;NS-17.7-03;NS-17.8-01;NS-17.8-02;NS-17.8-03;NS-17.9-01;NS-17.9-02;NS-17.10-01;NS-17.10-02,CR-089;CR-090;CR-073,d9d572a6e9beaa89ca46683875cc8cc606f30b723d9a7a4d9c4453a103265276,2026-07-22,2026-08-03,"v2.0.4 P1-14/P1-17 correction: metadata advertises immutable baseline and profile digests, schema and validator-set integrity, active governance version, IF-001 identity, and optional public-safe deployment binding.",v2.0.5,PUBLIC_REVIEW_CONTROLLED_BASELINE,PUBLIC_REVIEW_CONTROLLED_BASELINE,CURRENT,v2.0.5,2026-08-05,RTM-1.46
DS-004,tenant.json,schemas/tenant.json,https://agcp.ai/schemas/tenant.json,AGCP Tenant Governance Record,"Canonical, attributable, versioned, integrity-protected Tenant governance record. DS-004 records the authoritative Tenant operational state and state version, append-only state history and transition basis, active and historical Governance Configuration versions, Tenant Governance Evidence, explicit Tenant and Governance Domain Isolation controls, registry bindings, and complete record integrity. It does not itself establish authority at commitment, authorize execution, or override Canonical State.",Common Infrastructure,JSON Schema,https://json-schema.org/draft/2020-12/schema,Implemented,Active,v2.0.5,DS-001;DS-006;DS-020;DS-024;DS-026;DS-040;DS-041;DS-043;DS-044,,"Direct implementation of Tenant operational-state enforcement and Tenant/Governance Domain Isolation, including current-state checks at evaluation and commitment, cross-tenant visibility/authority/execution/policy/evidence isolation, and attributable state/configuration history.",RTM-00006;RTM-00024;RTM-00025;RTM-00026;RTM-00027;RTM-00028;RTM-00029;RTM-00030,ARM-202;ARM-204;ARM-305;ARM-401;ARM-406;ARM-703;ARM-704;ARM-706;ARM-801,NS-7.4-03;NS-10.5-01;NS-10.8A-01;NS-10.9-02;NS-11.1-01;NS-11.1-02;NS-11.2-01;NS-11.2-02;NS-11.3-01;NS-11.3-02;NS-11.4-01;NS-11.4-02;NS-11.5-01;NS-11.5-02;NS-11.5-03;NS-11.6-03;NS-11.6-04;NS-11.7-01;NS-11.7-02;NS-11.7-03,CR-006;CR-024;CR-025;CR-026;CR-027;CR-028;CR-029;CR-030,c2c3b62db212ef9405a56ed0bc7164214278a4d1e0d8265ceb82173a122f3137,2026-07-22,2026-07-30,"Comprehensively updated for AGCP v2.0. DS-004 now records authoritative Tenant state and version, append-only attributable state history and transition basis, active and historical Governance Configuration versions, Tenant Governance Evidence, explicit isolation controls, registry bindings, provenance, signature, digest, and replay material. Unrestricted metadata and the shared Tenant-state alias were removed.",v2.0.5,PUBLIC_REVIEW_CONTROLLED_BASELINE,PUBLIC_REVIEW_CONTROLLED_BASELINE,CURRENT,v2.0.5,2026-08-05,RTM-1.46
DS-005,policy_evaluation_module_artifact.json,schemas/policy_evaluation_module_artifact.json,https://agcp.ai/schemas/policy_evaluation_module_artifact.json,Policy Evaluation Module Artifact,"Canonical attributable, versioned, integrity-protected Policy Evaluation Module artifact binding deterministic runtime representation and interface contract to source policies, Governance Configuration, validated compilation, dependency and lineage evidence, Constitutional Validation, Governance Omission Analysis, Governance Self-Protection, Controlled Governance Activation, and Governance Version.",Governance Artifact,JSON Schema,https://json-schema.org/draft/2020-12/schema,Implemented,Active,v2.0.5,DS-001;DS-006;DS-020;DS-041;DS-042;DS-043;DS-044,DS-006;DS-007;DS-008;DS-009,"Contextual and implementation-specific realization of Governance Compilation, deterministic Compilation Context, Compiled Governance Artifact validation, protected-governance preservation, omission analysis, self-protection, and Controlled Governance Activation for Policy Evaluation Modules.",RTM-00110;RTM-00111;RTM-00112;RTM-00113;RTM-00114;RTM-00117,ARM-501;ARM-502;ARM-503;ARM-506;ARM-507;ARM-508;ARM-509;ARM-510;ARM-511;ARM-512,NS-15.6A-01;NS-15.6A-02;NS-15.6A-03;NS-15.6A-04;NS-15.6B-02,CR-110;CR-111;CR-112;CR-113;CR-114;CR-117,391efa65a1364fe83f8ab8f73c1e6cb594820216fde6768c2ae89a2fb574b502,2026-07-22,2026-07-30,"Comprehensively updated for AGCP v2.0. DS-005 owns the canonical Policy Evaluation Module artifact and integrity-bound reference. It records deterministic runtime and interface contracts; source policy, configuration, registry, compilation-context, build, dependency, lineage, validation, self-protection, activation, Governance Version, evidence, integrity, and replay bindings without itself establishing authority, admissibility, execution authorization, activation, or commitment.",v2.0.5,PUBLIC_REVIEW_CONTROLLED_BASELINE,PUBLIC_REVIEW_CONTROLLED_BASELINE,CURRENT,v2.0.5,2026-08-05,RTM-1.46
DS-006,policy_artifact.json,schemas/policy_artifact.json,https://agcp.ai/schemas/policy_artifact.json,Governance Policy Artifact,"Canonical attributable, versioned, integrity-protected Governance Policy artifact that declares deterministic policy semantics and required governance inputs; binds policy to Governance Configuration; and references DS-042 compilation and DS-043 activation without itself establishing authority, admissibility, execution authorization, activation, or commitment.",Governance Artifact,JSON Schema,https://json-schema.org/draft/2020-12/schema,Implemented,Active,v2.0.5,DS-001;DS-005;DS-007;DS-008;DS-020;DS-026;DS-038;DS-041;DS-042;DS-043;DS-044,DS-001;DS-004;DS-005;DS-007;DS-008;DS-009;DS-011;DS-012;DS-015;DS-017;DS-020;DS-021;DS-022;DS-024;DS-025;DS-026;DS-029;DS-030;DS-031;DS-033;DS-034;DS-035;DS-036;DS-037;DS-038;DS-039;DS-040;DS-041;DS-045,"Direct mapping to CR-007 and relationship-specific contextual mappings to governance compilation, protected-policy preservation, omission analysis, and self-modification isolation requirements in RTM-1.30.",RTM-00007;RTM-00110;RTM-00111;RTM-00112;RTM-00113;RTM-00114;RTM-00117,ARM-204;ARM-501;ARM-502;ARM-503;ARM-504;ARM-505;ARM-506;ARM-507;ARM-508;ARM-509;ARM-510;ARM-511;ARM-512;ARM-704,NS-7.2-02;NS-7.4-01;NS-15.6A-01;NS-15.6A-02;NS-15.6A-03;NS-15.6A-04;NS-15.6B-01;NS-15.6B-02,CR-007;CR-110;CR-111;CR-112;CR-113;CR-114;CR-117,48aba64b03d02280cfdc4cc377440bb63bcb3089884697440c00df99ee95de93,2026-07-22,2026-07-30,"Comprehensively updated for v2.0 as the canonical policy-intent artifact. Owns the integrity-bound policy reference used by active schemas and directly references DS-041, DS-042, and DS-043.",v2.0.5,PUBLIC_REVIEW_CONTROLLED_BASELINE,PUBLIC_REVIEW_CONTROLLED_BASELINE,CURRENT,v2.0.5,2026-08-05,RTM-1.46
DS-007,constraint_artifact.json,schemas/constraint_artifact.json,https://agcp.ai/schemas/constraint_artifact.json,Governance Constraint Artifact,"Canonical attributable, versioned, integrity-protected governance constraint artifact with source lineage, deterministic semantics, protected or constitutional classification, Governance Configuration binding, DS-042 compilation and validation projection, DS-043 controlled activation, Governance Version, and explicit non-weakening semantics.",Governance Artifact,JSON Schema,https://json-schema.org/draft/2020-12/schema,Implemented,Active,v2.0.5,DS-001;DS-005;DS-006;DS-020;DS-026;DS-041;DS-042;DS-043;DS-044,DS-001;DS-006;DS-009;DS-011;DS-025;DS-026;DS-028;DS-034;DS-036;DS-040;DS-042,"Direct mapping to CR-063 and relationship-specific contextual mappings to governance compilation, constitutional validation and preservation, Governance Self-Protection, omission analysis, and self-modification isolation requirements in RTM-1.32.",RTM-00063;RTM-00110;RTM-00111;RTM-00112;RTM-00113;RTM-00114;RTM-00117,ARM-501;ARM-502;ARM-504;ARM-505;ARM-506;ARM-507;ARM-508;ARM-509;ARM-510;ARM-511;ARM-512,NS-15.1-01;NS-15.2-02;NS-15.3-02;NS-15.4-01;NS-15.4-02;NS-15.5-01;NS-15.5-02;NS-15.5-03;NS-15.6-01;NS-15.6-02;NS-15.6-03;NS-15.6A-01;NS-15.6A-02;NS-15.6A-03;NS-15.6A-04;NS-15.6B-02;NS-15.7-01,CR-063;CR-110;CR-111;CR-112;CR-113;CR-114;CR-117,0b8fc440dd6e4fd204d29f27f8c5e04cfd0bfa75bf951d6d61dc0da5d29e763b,2026-07-22,2026-07-30,Comprehensively updated for v2.0. DS-007 owns the canonical integrity-bound constraint reference used by active schemas; generic shared aliases and unconstrained metadata were removed. Reverse schema dependency metadata synchronized to the active forward schema_dependencies graph in Schema Catalog 1.0.44.,v2.0.5,PUBLIC_REVIEW_CONTROLLED_BASELINE,PUBLIC_REVIEW_CONTROLLED_BASELINE,CURRENT,v2.0.5,2026-08-05,RTM-1.46
DS-008,invariant_definition.json,schemas/invariant_definition.json,https://agcp.ai/schemas/invariant_definition.json,Governance Invariant Definition,"Canonical attributable, versioned, integrity-protected governance invariant definition preserving source specification and governance lineage, deterministic invariant semantics, protected or constitutional classification, enforcement level, non-weakening controls, Governance Configuration binding, DS-042 compilation and validation evidence, DS-043 controlled activation, Governance Version, evidence, integrity, and replay material.",Governance Artifact,JSON Schema,https://json-schema.org/draft/2020-12/schema,Implemented,Active,v2.0.5,DS-001;DS-005;DS-006;DS-020;DS-026;DS-041;DS-042;DS-043;DS-044,DS-001;DS-006;DS-009;DS-012;DS-028;DS-036;DS-040;DS-042,"Direct mappings to hard-invariant failure, invariant-based Structural Refusal, required invariant references, and deterministic invariant evaluation; contextual mappings to Governance Compilation, Constitutional Validation, protected-invariant preservation, Governance Self-Protection, Governance Omission Analysis, and self-modification isolation.",RTM-00003;RTM-00053;RTM-00063;RTM-00076;RTM-00110;RTM-00111;RTM-00112;RTM-00113;RTM-00114;RTM-00117,ARM-105;ARM-204;ARM-501;ARM-502;ARM-504;ARM-505;ARM-509;ARM-510;ARM-511;ARM-512;ARM-701,NS-5.5-01;NS-5.5-02;NS-7.4-05;NS-7.5-02;NS-7.5-03;NS-7.5-05;NS-7.7-01;NS-7.7-02;NS-7.7-03;NS-15.1-01;NS-15.2-01;NS-15.2-02;NS-15.2-03;NS-15.3-02;NS-15.4-01;NS-15.4-02;NS-15.5-02;NS-15.5-03;NS-15.6-01;NS-15.6-03;NS-15.6A-01;NS-15.6A-02;NS-15.6A-03;NS-15.6A-04;NS-15.6B-02;NS-15.7-01;NS-15.7-02;NS-15.7-03,CR-003;CR-053;CR-063;CR-076;CR-110;CR-111;CR-112;CR-113;CR-114;CR-117,5a099ae3b21f7094fc2bdc8c4dcc3318733d0ef42b9c267faf6428a78d90bcac,2026-07-22,2026-07-30,"Comprehensively updated for AGCP v2.0 as the canonical invariant-definition artifact. DS-008 owns invariant identity, classification, enforcement level, integrity-bound references, deterministic semantics, source and artifact lineage, protected/constitutional non-weakening controls, compilation validation, controlled activation, Governance Version, evidence, and replay material.",v2.0.5,PUBLIC_REVIEW_CONTROLLED_BASELINE,PUBLIC_REVIEW_CONTROLLED_BASELINE,CURRENT,v2.0.5,2026-08-05,RTM-1.46
DS-009,exception_artifact.json,schemas/exception_artifact.json,https://agcp.ai/schemas/exception_artifact.json,Governance Exception Artifact,"Canonical attributable, versioned, integrity-protected governance exception artifact permitting only narrowly scoped, time-bounded, authority-backed and externally approved modification of ordinary exceptionable constraint evaluation; protected and constitutional constraints and governance invariants cannot be overridden.",Governance Artifact,JSON Schema,https://json-schema.org/draft/2020-12/schema,Implemented,Active,v2.0.5,DS-001;DS-005;DS-006;DS-007;DS-008;DS-020;DS-024;DS-025;DS-026;DS-041;DS-042;DS-043,DS-015;DS-020,"Relationship-specific contextual mappings to Governance Compilation, Constitutional Validation and Preservation, Governance Self-Protection, Governance Omission Analysis, and Governance Self-Modification Isolation requirements in RTM-1.34.",RTM-00110;RTM-00111;RTM-00112;RTM-00113;RTM-00114;RTM-00117,ARM-501;ARM-502;ARM-504;ARM-505;ARM-506;ARM-507;ARM-508;ARM-509;ARM-510;ARM-511;ARM-512,NS-15.1-01;NS-15.2-02;NS-15.3-02;NS-15.4-01;NS-15.4-02;NS-15.5-01;NS-15.5-02;NS-15.5-03;NS-15.6-01;NS-15.6-02;NS-15.6-03;NS-15.6A-01;NS-15.6A-02;NS-15.6A-03;NS-15.6A-04;NS-15.6B-01;NS-15.6B-02;NS-15.7-01,CR-110;CR-111;CR-112;CR-113;CR-114;CR-117,f456adcaddcda034e75a22272a63f1457fee079a6c7db63c3ee4dd8a58c031cc,2026-07-22,2026-07-30,"Comprehensively updated for AGCP v2.0. DS-009 owns the canonical integrity-bound exception reference, restricts exceptions to ordinary exceptionable constraints, requires current authority and external approval, and prohibits protected/constitutional weakening, invariant override, scope amplification, bypass, and self-activation.",v2.0.5,PUBLIC_REVIEW_CONTROLLED_BASELINE,PUBLIC_REVIEW_CONTROLLED_BASELINE,CURRENT,v2.0.5,2026-08-05,RTM-1.46
DS-010,governance_artifact_view.json,schemas/governance_artifact_view.json,https://agcp.ai/schemas/governance_artifact_view.json,Governance Artifact View,"Canonical externally observable, integrity-protected read model for a governance artifact and its compilation, validation, approval, activation, Governance Version, lineage, evidence, and lifecycle state.",Governance Artifact,JSON Schema,https://json-schema.org/draft/2020-12/schema,Implemented,Active,v2.0.5,DS-001;DS-020;DS-040;DS-041;DS-042;DS-043,,"Contextual read-model mapping to governance compilation, validation, self-protection, omission analysis, controlled activation, and self-modification isolation requirements.",RTM-00110;RTM-00111;RTM-00112;RTM-00113;RTM-00114;RTM-00117,ARM-502;ARM-506;ARM-507;ARM-508;ARM-509;ARM-510;ARM-511;ARM-512,NS-15.5-01;NS-15.5-02;NS-15.5-03;NS-15.6A-01;NS-15.6A-02;NS-15.6A-03;NS-15.6A-04;NS-15.6B-01;NS-15.6B-02,CR-110;CR-111;CR-112;CR-113;CR-114;CR-117,b5632c0bce77a7dd7e94f42850844ae086ac360c7546d55ebf038424b0316f0d,2026-07-22,2026-07-29,"Comprehensively updated for v2.0 to project canonical DS-041, DS-042, and DS-043 state without duplicating or replacing authoritative records.",v2.0.5,PUBLIC_REVIEW_CONTROLLED_BASELINE,PUBLIC_REVIEW_CONTROLLED_BASELINE,CURRENT,v2.0.5,2026-08-05,RTM-1.46
